c''''',c''''',4186.01
b'''',b'''',3951.07
ais'''',bes'''',3729.31
a'''',a'''',3520
gis'''',aes'''',3322.44
g'''',g'''',3135.96
fis'''',ges'''',2959.96
f'''',f'''',2793.83
e'''',e'''',2637.02
dis'''',ees'''',2489.02
d'''',d'''',2349.32
cis'''',des'''',2217.46
c'''',c'''',2093
b''',b''',1975.53
ais''',bes''',1864.66
a''',a''',1760
gis''',aes''',1661.22
g''',g''',1567.98
fis''',ges''',1479.98
f''',f''',1396.91
e''',e''',1318.51
dis''',ees''',1244.51
d''',d''',1174.66
cis''',des''',1108.73
c''',c''',1046.5
b'',b'',987.767
ais'',bes'',932.328
a'',a'',880
gis'',aes'',830.609
g'',g'',783.991
fis'',ges'',739.989
f'',f'',698.456
e'',e'',659.255
dis'',ees'',622.254
d'',d'',587.33
cis'',des'',554.365
c'',c'',523.251
b',b',493.883
ais',bes',466.164
a',a',440
gis',aes',415.305
g',g',391.995
fis',ges',369.994
f',f',349.228
e',e',329.628
dis',ees',311.127
d',d',293.665
cis',des',277.183
c',c',261.626
b,b,246.942
ais,bes,233.082
a,a,220
gis,aes,207.652
g,g,195.998
fis,ges,184.997
f,f,174.614
e,e,164.814
dis,ees,155.563
d,d,146.832
cis,des,138.591
c,c,130.813
"b,","b,",123.471
"ais,","bes,",116.541
"a,","a,",110
"gis,","aes,",103.826
"g,","g,",97.9989
"fis,","ges,",92.4986
"f,","f,",87.3071
"e,","e,",82.4069
"dis,","ees,",77.7817
"d,","d,",73.4162
"cis,","des,",69.2957
"c,","c,",65.4064
"b,","b,",61.7354
"ais,,","bes,,",58.2705
"a,,","a,,",55
"gis,,","aes,,",51.9131
"g,,","g,,",48.9994
"fis,,","ges,,",46.2493
"f,,","f,,",43.6535
"e,,","e,,",41.2034
"dis,,","ees,,",38.8909
"d,,","d,,",36.7081
"cis,,","des,,",34.6478
"c,,","c,,",32.7032
"b,,,","b,,,",30.8677
"ais,,,","bes,,,",29.1352
"a,,,","a,,,",27.5
